device_name,ip,percentage,func_1,func_2,func_3,func_4,func_5,func_6,func_7
babymonitor,54.200.34.119,4.447268106734435,24.193548387096776,0.0,0.0,0.0,0.0,0.0,0.0
babymonitor,59.82.112.196,1.087109981646195,5.913978494623656,0.0,0.0,0.0,0.0,0.0,0.0
babymonitor,44.238.208.26,2.9930820273895242,2.380952380952381,4.9397590361445785,7.962962962962964,3.003875968992248,2.710280373831776,1.402714932126697,6.0606060606060606
babymonitor,47.246.109.108,0.7200338839474798,1.228878648233487,0.0,0.0,0.0,0.0,1.583710407239819,0.0
babymonitor,47.254.95.248,42.79260200480022,35.17665130568356,40.8433734939759,70.0,43.604651162790695,44.48598130841121,42.081447963800905,0.0
babymonitor,59.82.29.249,0.1129464915996047,0.6144393241167435,0.0,0.0,0.0,0.0,0.0,0.0
babymonitor,129.226.103.217,0.25412960609911056,0.5376344086021506,0.0,0.0,0.0,0.0,0.4977375565610859,0.0
babymonitor,203.119.205.153,2.2306932090921925,5.913978494623656,3.2530120481927707,0.0,0.7751937984496124,0.1869158878504673,0.7692307692307693,27.27272727272727
babymonitor,59.82.112.156,0.3106028518989129,1.6897081413210446,0.0,0.0,0.0,0.0,0.0,0.0
babymonitor,142.250.191.42,0.18353804884935762,0.4608294930875576,0.0,0.0,0.0,0.0,0.3167420814479638,0.0
babymonitor,44.241.48.186,3.7554708456868555,3.6098310291858677,4.819277108433735,7.592592592592593,3.6821705426356592,3.925233644859813,1.9457013574660633,15.151515151515152
babymonitor,142.251.32.42,0.18353804884935762,0.4608294930875576,0.0,1.2962962962962963,0.0,0.0,0.0,0.0
babymonitor,44.239.154.208,2.047155160242835,1.6897081413210446,2.4096385542168677,3.7037037037037033,3.003875968992248,2.710280373831776,0.9502262443438914,2.0202020202020203
babymonitor,203.119.214.17,1.7930255541437246,7.296466973886329,0.0,1.1111111111111112,0.0,0.0,1.1764705882352942,0.0
babymonitor,59.82.112.84,0.1976563602993082,1.0752688172043012,0.0,0.0,0.0,0.0,0.0,0.0
babymonitor,52.27.85.79,0.12706480304955528,0.6912442396313364,0.0,0.0,0.0,0.0,0.0,0.0
babymonitor,54.69.214.41,13.75123535225187,3.225806451612903,0.0,0.0,0.0,0.0,42.171945701357465,0.0
babymonitor,59.82.23.69,0.12706480304955528,0.6912442396313364,0.0,0.0,0.0,0.0,0.0,0.0
babymonitor,44.230.82.63,15.261894677396585,3.14900153609831,33.373493975903614,0.0,38.565891472868216,34.112149532710276,0.0,0.0
babymonitor,59.82.113.90,3.5295778624876464,0.0,8.55421686746988,5.555555555555555,6.782945736434108,7.383177570093458,0.0,0.0
babymonitor,142.250.189.202,0.1129464915996047,0.0,0.9638554216867471,0.0,0.0,0.0,0.0,0.0
babymonitor,172.217.12.106,0.1976563602993082,0.0,0.8433734939759037,0.0,0.0,0.0,0.3167420814479638,0.0
babymonitor,142.251.214.138,0.2823662289990117,0.0,0.0,1.2962962962962963,0.5813953488372093,0.0,0.3167420814479638,0.0
babymonitor,129.226.103.12,0.1129464915996047,0.0,0.0,1.4814814814814816,0.0,0.0,0.0,0.0
babymonitor,35.167.213.203,0.1129464915996047,0.0,0.0,0.0,0.0,0.7476635514018692,0.0,0.0
babymonitor,44.233.135.247,0.5223775236481717,0.0,0.0,0.0,0.0,3.4579439252336446,0.0,0.0
babymonitor,203.119.217.116,0.36707609769871524,0.0,0.0,0.0,0.0,0.2803738317757009,0.0,23.232323232323232
babymonitor,142.251.46.202,0.1129464915996047,0.0,0.0,0.0,0.0,0.0,0.36199095022624433,0.0
babymonitor,59.82.113.237,1.0024001129464915,0.0,0.0,0.0,0.0,0.0,3.2126696832579182,0.0
babymonitor,223.109.148.139,0.08470986869970351,0.0,0.0,0.0,0.0,0.0,0.27149321266968324,0.0
babymonitor,47.246.109.109,0.2258929831992094,0.0,0.0,0.0,0.0,0.0,0.7239819004524887,0.0
babymonitor,203.119.205.154,0.3529577862487646,0.0,0.0,0.0,0.0,0.0,0.4977375565610859,14.14141414141414
babymonitor,59.82.23.195,0.1976563602993082,0.0,0.0,0.0,0.0,0.0,0.6334841628959276,0.0
babymonitor,223.109.148.171,0.042354934349851756,0.0,0.0,0.0,0.0,0.0,0.13574660633484162,0.0
babymonitor,172.217.164.106,0.0988281801496541,0.0,0.0,0.0,0.0,0.0,0.3167420814479638,0.0
babymonitor,142.250.189.234,0.0988281801496541,0.0,0.0,0.0,0.0,0.0,0.3167420814479638,0.0
babymonitor,59.82.23.214,0.05647324579980235,0.0,0.0,0.0,0.0,0.0,0.0,4.040404040404041
babymonitor,59.82.113.130,0.1129464915996047,0.0,0.0,0.0,0.0,0.0,0.0,8.080808080808081
