device_name,ip,percentage,func_1,func_2,func_3,func_4,func_5,func_6,func_7,func_8
withingsbpm,34.111.202.166,14.375876577840113,100.0,0.8526187576126675,100.0,100.0,100.0,100.0,100.0,100.0
withingsbpm,89.30.121.170,11.465638148667603,0.0,13.276492082825822,0.0,0.0,0.0,0.0,0.0,0.0
withingsbpm,151.101.42.217,73.17671809256662,0.0,84.7340641494113,0.0,0.0,0.0,0.0,0.0,0.0
withingsbpm,172.217.164.106,0.3155680224403927,0.0,0.3654080389768575,0.0,0.0,0.0,0.0,0.0,0.0
withingsbpm,142.251.46.202,0.3155680224403927,0.0,0.3654080389768575,0.0,0.0,0.0,0.0,0.0,0.0
withingsbpm,142.250.188.3,0.3506311360448808,0.0,0.40600893219650835,0.0,0.0,0.0,0.0,0.0,0.0
