device_name,ip,percentage,func_1,func_2,func_3,func_4,func_5,func_6,func_7,func_8
wyzescale,35.83.59.104,6.194772579294949,0,9.469964664310954,2.6871699285492388,6.0402684563758395,7.906458797327394,8.280727812848125,7.724867724867725,5.683736634777715
wyzescale,54.201.190.7,1.0836201283601525,0,1.76678445229682,0.9940975458216837,0.8501118568232663,1.1878247958426131,0.7426661715558857,0.6349206349206349,1.6882386043894204
wyzescale,52.11.207.67,0.8464328899637243,0,3.3215547703180213,1.3668841255048152,0.0,0.0,0.0,0.0,0.0
wyzescale,52.40.41.84,2.4230304157752767,0,4.240282685512367,1.1028269648959306,2.7293064876957494,2.9324424647364515,2.376531748978834,2.5396825396825395,3.0388294879009567
wyzescale,52.42.234.228,0.24648869872569992,0,1.872791519434629,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,151.101.41.208,3.4973490838061574,0,2.9681978798586575,2.780366573470022,3.4451901565995526,4.157386785449146,4.158930560712959,3.9153439153439153,4.333145751266179
wyzescale,44.227.230.96,4.594921402660217,0,3.4628975265017665,2.1279900590245417,5.279642058165549,6.941351150705271,7.092461938358707,6.631393298059965,3.8829487900956665
wyzescale,52.43.23.55,0.5022788577806716,0,1.342756183745583,0.31065548306927615,1.342281879194631,0.4083147735708983,0.0,0.31746031746031744,0.0
wyzescale,52.200.116.28,1.3859175890614825,0,0.6713780918727915,2.562907735321528,0.6711409395973155,0.7423904974016332,1.2253991830672113,0.7407407407407408,1.4068655036578503
wyzescale,44.239.205.148,5.915728769416798,0,9.434628975265017,3.401677539608574,0.0,7.16406829992576,7.686594875603417,8.959435626102293,7.42824985931345
wyzescale,52.26.1.148,0.1255697144451679,0,0.9540636042402828,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,35.81.35.4,0.1953306669147056,0,1.4840989399293287,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,18.155.202.102,0.3767091433355037,0,1.1307420494699647,0.0,0.0,0.0,0.0,1.728395061728395,0.0
wyzescale,34.212.124.230,0.14417263510371128,0,1.0954063604240283,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,52.41.2.133,0.18137847642079807,0,1.3780918727915195,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,52.25.187.110,0.12091898428053204,0,0.9187279151943463,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,52.38.68.215,4.576318482001674,0,3.851590106007067,1.056228642435539,0.0,7.683741648106904,7.055328629780913,9.135802469135802,8.497467642093417
wyzescale,18.155.202.17,0.2697423495488792,0,1.1307420494699647,0.0,0.0,0.0,0.0,0.9171075837742505,0.0
wyzescale,35.167.111.42,0.1953306669147056,0,1.4840989399293287,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,35.160.102.94,5.850618547111896,0,7.031802120141342,2.1279900590245417,3.2214765100671143,11.098737936154416,10.84292610471593,5.291005291005291,6.1339335959482275
wyzescale,52.40.248.41,1.1115245093479675,0,1.4134275618374559,0.0,0.0,2.078693392724573,1.9680653546230968,1.869488536155203,2.0821609454136185
wyzescale,18.155.181.58,0.42321644498186217,0,0.7067137809187279,1.1028269648959306,0.0,0.0,0.0,0.0,0.0
wyzescale,54.148.115.137,0.07441168263417357,0,0.5653710247349824,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,52.24.168.143,0.3069481908659659,0,1.0247349823321554,0.26405716060888473,0.8948545861297539,0.0,0.0,0.0,0.0
wyzescale,35.166.252.7,3.5252534647939724,0,1.5547703180212016,7.735321528424977,2.3266219239373602,1.1135857461024499,1.9309320460453028,1.3403880070546736,2.4760832864378166
wyzescale,35.162.106.56,1.7858803832201655,0,2.862190812720848,0.8543025784405094,1.9686800894854588,1.9673348181143282,1.81953212031192,2.7865961199294533,1.2943162633652223
wyzescale,52.27.80.35,0.8324806994698168,0,1.872791519434629,0.7611059335197267,1.3870246085011184,1.7074981440237564,0.0,0.0,0.0
wyzescale,52.43.148.200,5.013487117477444,0,4.593639575971731,2.2833178005591797,9.664429530201343,2.709725315515961,5.347196435202377,7.830687830687831,8.216094541361846
wyzescale,52.43.74.124,0.24648869872569992,0,0.7420494699646644,0.015532774153463809,0.5369127516778524,0.33407572383073497,0.0,0.3527336860670194,0.0
wyzescale,44.237.234.132,0.15812482559761884,0,1.2014134275618376,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,52.43.30.200,0.14882336526834714,0,1.1307420494699647,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,52.24.151.192,0.15812482559761884,0,1.2014134275618376,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,18.155.202.116,0.6138963817319318,0,0.7773851590106008,1.3358185771978874,0.0,0.0,0.0,0.8465608465608466,0.0
wyzescale,18.155.181.5,0.3069481908659659,0,0.3180212014134276,0.8853681267474371,0.0,0.0,0.0,0.0,0.0
wyzescale,35.80.101.90,0.1162682541158962,0,0.88339222614841,0.0,0.0,0.0,0.0,0.0,0.0
wyzescale,52.88.36.62,5.390196260812948,0,1.9434628975265018,4.675365020192607,11.498881431767337,5.864884929472903,3.2305978462681026,5.467372134038801,8.216094541361846
wyzescale,44.236.113.33,0.6045949214026602,0,2.7208480565371023,0.0,0.0,1.9673348181143282,0.0,0.0,0.0
wyzescale,44.229.105.13,5.8924751185936195,0,5.830388692579505,4.224914569742156,0.0,9.910913140311804,8.652060898626067,5.149911816578483,10.354530106921779
wyzescale,18.155.202.87,0.213933587573249,0,0.7420494699646644,0.0,0.0,0.0,0.0,0.8818342151675485,0.0
