device_name,ip,percentage,func_2,func_3,func_4,func_5,func_6
fitbitfitness,34.102.155.183,30.492424242424242,40.406976744186046,25.31328320802005,19.672131147540984,44.48529411764706,22.279792746113987
fitbitfitness,142.250.189.234,8.522727272727272,18.313953488372093,7.518796992481203,7.103825136612022,10.661764705882353,0.0
fitbitfitness,142.250.189.202,7.512626262626262,13.953488372093023,6.7669172932330826,8.19672131147541,10.661764705882353,0.0
fitbitfitness,142.251.46.234,5.871212121212121,4.3604651162790695,7.268170426065162,8.19672131147541,0.0,8.808290155440414
fitbitfitness,142.251.46.170,1.0101010101010102,4.651162790697675,0.0,0.0,0.0,0.0
fitbitfitness,142.250.189.170,8.585858585858585,4.3604651162790695,15.538847117794486,8.19672131147541,5.514705882352941,7.512953367875648
fitbitfitness,142.250.72.202,0.946969696969697,4.3604651162790695,0.0,0.0,0.0,0.0
fitbitfitness,172.217.164.106,1.0101010101010102,4.651162790697675,0.0,0.0,0.0,0.0
fitbitfitness,142.251.32.42,5.808080808080808,4.941860465116279,7.518796992481203,7.650273224043716,0.0,8.031088082901555
fitbitfitness,142.250.191.42,9.343434343434344,0.0,15.037593984962406,8.743169398907105,5.514705882352941,14.766839378238341
fitbitfitness,142.250.191.74,7.449494949494949,0.0,7.268170426065162,15.846994535519126,5.88235294117647,11.398963730569948
fitbitfitness,142.251.46.202,5.871212121212121,0.0,7.769423558897243,16.39344262295082,5.514705882352941,4.404145077720207
fitbitfitness,142.251.214.138,5.681818181818182,0.0,0.0,0.0,11.76470588235294,15.025906735751295
fitbitfitness,172.217.12.106,1.893939393939394,0.0,0.0,0.0,0.0,7.772020725388601
