frame_no,ip,domain
1,43.201.128.52,ws.channel.io
1,15.164.3.45,ws.channel.io
1,3.37.220.195,ws.channel.io
1,15.165.125.158,ws.channel.io
1,3.36.173.142,ws.channel.io
1,3.39.93.66,ws.channel.io
1,13.125.20.54,ws.channel.io
1,52.79.107.99,ws.channel.io
2,43.201.128.52,ws.channel.io
2,15.164.3.45,ws.channel.io
2,3.37.220.195,ws.channel.io
2,15.165.125.158,ws.channel.io
2,3.36.173.142,ws.channel.io
2,3.39.93.66,ws.channel.io
2,13.125.20.54,ws.channel.io
2,52.79.107.99,ws.channel.io
