frame_no,ip,domain
3,54.69.214.41,a1.tuyaus.com
3,44.230.82.63,a1.tuyaus.com
3,54.200.34.119,a1.tuyaus.com
3,44.233.135.247,a1.tuyaus.com
5,44.239.154.208,m1.tuyaus.com
5,44.238.208.26,m1.tuyaus.com
5,44.241.48.186,m1.tuyaus.com
10,54.69.214.41,a1.tuyaus.com
10,44.230.82.63,a1.tuyaus.com
10,54.200.34.119,a1.tuyaus.com
10,44.233.135.247,a1.tuyaus.com
13,44.239.154.208,m1.tuyaus.com
13,44.238.208.26,m1.tuyaus.com
13,44.241.48.186,m1.tuyaus.com
103,47.254.95.248,v2.sense-u.com
126,47.254.95.248,v2.sense-u.com
230,203.119.214.17,amdcopen.m.taobao.com
231,203.119.214.17,amdcopen.m.taobao.com
244,59.82.23.69,umengjmacs.m.taobao.com
245,59.82.23.69,umengjmacs.m.taobao.com
246,59.82.23.69,umengjmacs.m.taobao.com
249,59.82.23.69,umengjmacs.m.taobao.com
