frame_no,ip,domain
7,44.239.154.208,m1.tuyaus.com
7,44.238.208.26,m1.tuyaus.com
7,44.241.48.186,m1.tuyaus.com
8,223.109.148.139,utoken.umeng.com
8,223.109.148.171,utoken.umeng.com
9,47.246.109.108,ulogs.umeng.com
9,47.246.109.109,ulogs.umeng.com
10,223.109.148.139,utoken.umeng.com
10,223.109.148.171,utoken.umeng.com
20,44.239.154.208,m1.tuyaus.com
20,44.238.208.26,m1.tuyaus.com
20,44.241.48.186,m1.tuyaus.com
22,47.246.109.108,ulogs.umeng.com
22,47.246.109.109,ulogs.umeng.com
103,47.254.95.248,v2.sense-u.com
104,47.254.95.248,v2.sense-u.com
231,203.119.214.17,amdcopen.m.taobao.com
232,203.119.214.17,amdcopen.m.taobao.com
