frame_no,ip,domain
2,142.251.46.202,firebaselogging-pa.googleapis.com
2,172.217.12.106,firebaselogging-pa.googleapis.com
2,142.250.189.234,firebaselogging-pa.googleapis.com
2,142.250.191.42,firebaselogging-pa.googleapis.com
2,142.250.189.202,firebaselogging-pa.googleapis.com
2,142.251.214.138,firebaselogging-pa.googleapis.com
2,142.251.32.42,firebaselogging-pa.googleapis.com
3,142.251.46.202,firebaselogging-pa.googleapis.com
3,172.217.12.106,firebaselogging-pa.googleapis.com
3,142.250.189.234,firebaselogging-pa.googleapis.com
3,142.250.191.42,firebaselogging-pa.googleapis.com
3,142.250.189.202,firebaselogging-pa.googleapis.com
3,142.251.214.138,firebaselogging-pa.googleapis.com
3,142.251.32.42,firebaselogging-pa.googleapis.com
27,223.109.148.139,utoken.umeng.com
27,223.109.148.171,utoken.umeng.com
29,47.246.109.109,ulogs.umeng.com
29,47.246.109.108,ulogs.umeng.com
42,223.109.148.139,utoken.umeng.com
42,223.109.148.171,utoken.umeng.com
51,47.246.109.109,ulogs.umeng.com
51,47.246.109.108,ulogs.umeng.com
75,47.254.95.248,v2.sense-u.com
76,47.254.95.248,v2.sense-u.com
223,59.82.23.195,umengjmacs.m.taobao.com
224,59.82.23.195,umengjmacs.m.taobao.com
225,203.119.205.154,amdcopen.m.taobao.com
226,203.119.205.154,amdcopen.m.taobao.com
228,59.82.23.195,umengjmacs.m.taobao.com
229,59.82.23.195,umengjmacs.m.taobao.com
