frame_no,ip,domain
21,44.241.48.186,m1.tuyaus.com
21,44.239.154.208,m1.tuyaus.com
21,44.238.208.26,m1.tuyaus.com
22,44.241.48.186,m1.tuyaus.com
22,44.239.154.208,m1.tuyaus.com
22,44.238.208.26,m1.tuyaus.com
86,47.254.95.248,v2.sense-u.com
87,47.254.95.248,v2.sense-u.com
198,203.119.214.17,amdcopen.m.taobao.com
199,203.119.214.17,amdcopen.m.taobao.com
212,59.82.112.84,umengjmacs.m.taobao.com
213,59.82.112.84,umengjmacs.m.taobao.com
214,59.82.112.84,umengjmacs.m.taobao.com
215,59.82.112.84,umengjmacs.m.taobao.com
