frame_no,ip_proto,dstport,encrypted
1,6,853,Unknown
2,17,,Unknown
3,17,,Unknown
4,6,80,Unencrypted
5,6,80,Unencrypted
6,17,,Unknown
7,17,,Unknown
8,6,8883,Unknown
9,6,37450,Unknown
10,6,80,Unencrypted
11,6,80,Unencrypted
12,6,37450,Unknown
13,6,37460,Unknown
14,6,80,Unencrypted
15,6,80,Unencrypted
16,6,37460,Unknown
17,6,40000,Unknown
18,6,8883,Unknown
19,6,8883,Unknown
20,6,40000,Unknown
21,6,37450,Unknown
22,6,80,Unencrypted
23,6,37460,Unknown
24,6,80,Unencrypted
25,6,40000,Unknown
26,6,8883,Unknown
27,6,40000,Unknown
28,6,8883,Unknown
29,6,8883,Unknown
30,6,40000,Unknown
31,6,40000,Unknown
32,6,8883,Unknown
33,6,40000,Unknown
34,6,40000,Unknown
35,6,8883,Unknown
36,6,40000,Unknown
37,6,8883,Unknown
38,6,40000,Unknown
39,6,40000,Unknown
40,6,8883,Unknown
41,6,80,Unencrypted
42,6,37450,Unknown
43,6,37450,Unknown
44,6,80,Unencrypted
45,6,80,Unencrypted
46,6,37450,Unknown
47,6,37450,Unknown
48,6,80,Unencrypted
49,6,853,Unknown
50,6,80,Unencrypted
51,6,37450,Unknown
52,6,37450,Unknown
53,6,80,Unencrypted
54,6,80,Unencrypted
55,6,37450,Unknown
56,6,37450,Unknown
57,6,80,Unencrypted
58,6,80,Unencrypted
59,6,37450,Unknown
60,6,37450,Unknown
61,6,80,Unencrypted
62,6,80,Unencrypted
63,6,37450,Unknown
64,6,37450,Unknown
65,6,80,Unencrypted
66,6,80,Unencrypted
67,6,37450,Unknown
68,6,37450,Unknown
69,6,80,Unencrypted
70,6,80,Unencrypted
71,6,37450,Unknown
72,6,37450,Unknown
73,6,80,Unencrypted
74,6,80,Unencrypted
75,6,37450,Unknown
76,6,37450,Unknown
77,6,80,Unencrypted
78,6,80,Unencrypted
79,6,37450,Unknown
80,6,37450,Unknown
81,6,80,Unencrypted
82,6,80,Unencrypted
83,6,37450,Unknown
84,6,37450,Unknown
85,6,80,Unencrypted
86,6,853,Unknown
87,6,80,Unencrypted
88,6,37450,Unknown
89,6,37450,Unknown
90,6,80,Unencrypted
91,6,80,Unencrypted
92,6,37450,Unknown
93,6,37450,Unknown
94,6,80,Unencrypted
95,6,80,Unencrypted
96,6,37450,Unknown
97,6,37450,Unknown
98,6,80,Unencrypted
99,6,80,Unencrypted
100,6,37450,Unknown
101,6,37450,Unknown
102,6,80,Unencrypted
103,6,80,Unencrypted
104,6,37450,Unknown
105,6,37450,Unknown
106,6,80,Unencrypted
