frame_no,ip,domain
2,151.101.42.217,static.withings.com
3,151.101.42.217,static.withings.com
21,89.30.121.170,scalews.withings.net
22,89.30.121.170,scalews.withings.net
24,142.250.188.3,crashlyticsreports-pa.googleapis.com
25,142.250.188.3,crashlyticsreports-pa.googleapis.com
104,151.101.42.217,p4.withings.com
105,151.101.42.217,p4.withings.com
