frame_no,ip,domain
20,89.30.121.170,scalews.withings.net
21,89.30.121.170,scalews.withings.net
27,34.111.202.166,prod.rudderstack.withings.net
28,34.111.202.166,prod.rudderstack.withings.net
56,151.101.42.217,p4.withings.com
57,151.101.42.217,static.withings.com
59,151.101.42.217,p4.withings.com
60,151.101.42.217,static.withings.com
