frame_no,ip,domain
2,151.101.42.217,static.withings.com
3,151.101.42.217,static.withings.com
22,89.30.121.170,scalews.withings.net
23,89.30.121.170,scalews.withings.net
88,151.101.42.217,p4.withings.com
90,151.101.42.217,p4.withings.com
