frame_no,ip,domain
1,151.101.42.217,static.withings.com
24,172.217.164.106,firebaselogging-pa.googleapis.com
24,142.251.46.202,firebaselogging-pa.googleapis.com
27,172.217.164.106,firebaselogging-pa.googleapis.com
27,142.251.46.202,firebaselogging-pa.googleapis.com
87,89.30.121.170,scalews.withings.net
88,89.30.121.170,scalews.withings.net
101,151.101.42.217,p4.withings.com
102,151.101.42.217,p4.withings.com
