frame_no,time
7,1681865228.199935000
8,1681865228.265127000
9,1681865228.279502000
10,1681865228.293518000
20,1681865228.318094000
22,1681865228.340743000
103,1681865228.877063000
104,1681865228.880822000
231,1681865230.625204000
232,1681865230.628692000
