frame_no,ip,domain
1,35.190.25.25,api.mixpanel.com
1,35.186.241.51,api.mixpanel.com
1,130.211.34.183,api.mixpanel.com
2,35.190.25.25,api.mixpanel.com
2,35.186.241.51,api.mixpanel.com
2,130.211.34.183,api.mixpanel.com
4,130.211.34.183,decide.mixpanel.com
4,35.190.25.25,decide.mixpanel.com
4,35.186.241.51,decide.mixpanel.com
5,130.211.34.183,decide.mixpanel.com
5,35.190.25.25,decide.mixpanel.com
5,35.186.241.51,decide.mixpanel.com
20,54.83.45.155,us-kardia-production.alivecor.com
20,3.229.68.101,us-kardia-production.alivecor.com
21,54.83.45.155,us-kardia-production.alivecor.com
21,3.229.68.101,us-kardia-production.alivecor.com
53,3.229.68.101,app.alivecor.com
53,54.83.45.155,app.alivecor.com
55,3.229.68.101,app.alivecor.com
55,54.83.45.155,app.alivecor.com
60,3.229.68.101,us-telekardia-production.alivecor.com
60,54.83.45.155,us-telekardia-production.alivecor.com
90,3.229.68.101,us-telekardia-production.alivecor.com
90,54.83.45.155,us-telekardia-production.alivecor.com
