frame_no,ip,domain
1,54.83.45.155,us-kardia-production.alivecor.com
1,3.229.68.101,us-kardia-production.alivecor.com
2,54.83.45.155,us-kardia-production.alivecor.com
2,3.229.68.101,us-kardia-production.alivecor.com
32,3.229.68.101,app.alivecor.com
32,54.83.45.155,app.alivecor.com
34,3.229.68.101,app.alivecor.com
34,54.83.45.155,app.alivecor.com
39,3.229.68.101,us-telekardia-production.alivecor.com
39,54.83.45.155,us-telekardia-production.alivecor.com
69,3.229.68.101,us-telekardia-production.alivecor.com
69,54.83.45.155,us-telekardia-production.alivecor.com
660,76.223.13.31,api.braintreegateway.com
670,76.223.13.31,api.braintreegateway.com
678,52.217.13.12,alivecor-nn-us-production.s3.amazonaws.com
683,52.217.13.12,alivecor-nn-us-production.s3.amazonaws.com
715,142.250.189.163,crashlyticsreports-pa.googleapis.com
716,142.250.189.163,crashlyticsreports-pa.googleapis.com
