conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

10,10.215.173.1,47.254.95.248,48590,80,1681867058.674399 , 1681867058.788205 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            602,            605,              1,              1,            602,            605,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            602,            605,            602,            605,            601,            604,          66816,         524288,          65536,         523520,              0,              0,          65962,         523904,            602,            605,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        31700.2,        31700.5,              0,              0,           5290,           5316,
11,10.215.173.1,47.254.95.248,48606,80,1681867058.676550 , 1681867058.767638 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            607,            525,              1,              1,            607,            525,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            607,            525,            607,            525,            606,            524,          66816,         524288,          65536,         523520,              0,              0,          65962,         523904,            607,            525,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        31720.7,        31721.0,              0,              0,           6664,           5764,
12,10.215.173.1,47.254.95.248,48620,80,1681867058.680746 , 1681867058.770687 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            607,            525,              1,              1,            607,            525,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            607,            525,            607,            525,            606,            524,          66816,         524288,          65536,         523520,              0,              0,          65962,         523904,            607,            525,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        31717.7,        31718.0,              0,              0,           6749,           5837,
13,10.215.173.1,47.246.109.108,48240,443,1681867058.716087 , 1681867059.347330 ,              8,              9,              1,              0,              7,              9,              2,              4,              0,              0,              0,              0,              0,              0,           3065,           3893,              4,              3,           3065,           3893,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/0,            1/1,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           2424,           3299,             31,            274,            766,           1297,          98816,         524288,          65536,          65280,              0,              0,          69485,         466464,            517,           3299,              1,              1,             NA,           3893,             NA,              0,              0,              0,              0,              0,          0.423,          0.213,          209.2,          208.3,              0,              0,           4855,           6167,
14,10.215.173.1,129.226.103.217,46904,443,1681867060.470689 , 1681867061.32861 ,              7,              7,              0,              0,              6,              7,              3,              3,              0,              0,              0,              0,              0,              0,           1421,           5821,              3,              3,           1421,           5821,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           1142,           5170,             93,            290,            473,           1939,         106240,         524288,          65536,         523008,              0,              0,          82304,         523776,            186,           5170,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.191,          0.201,        29455.5,        29456.8,              0,              0,           2528,          10354,
15,10.215.173.1,203.119.205.153,49264,443,1681867061.103789 , 1681867076.436279 ,              5,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              0,              4,              0,              0,              0,              0,              0,              0,              0,              0,              0,            5/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        14052.1,             NA,              0,              0,              0,              0,
16,10.215.173.1,59.82.112.156,40626,80,1681867065.795153 , 1681867066.607426 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            394,            486,              1,              1,            394,            486,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            394,            486,            394,            486,            393,            485,          66816,         524288,          65536,         523776,              0,              0,          65962,         524032,            394,            486,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        23880.9,        23881.4,              0,              0,            485,            598,
17,10.215.173.1,203.119.205.153,40296,443,1681867069.483150 , 1681867084.758525 ,              5,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              0,              4,              0,              0,              0,              0,              0,              0,              0,              0,              0,            5/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         8109.8,             NA,              0,              0,              0,              0,
18,10.215.173.1,203.119.205.153,46038,443,1681867081.132485 , 1681867088.382820 ,              4,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              0,              3,              0,              0,              0,              0,              0,              0,              0,              0,              0,            4/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         4053.4,             NA,              0,              0,              0,              0,
19,10.215.173.1,203.119.205.153,41042,443,1681867089.492192 , 1681867090.488360 ,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,            2/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          996.2,             NA,              0,              0,              0,              0,
20,10.215.173.1,nuq04s42-in-f10.1e100.net,48470,443,1681867089.864136 , 1681867089.898713 ,              6,              5,              0,              0,              5,              5,              2,              3,              0,              0,              0,              0,              0,              0,           1895,            162,              3,              1,           1895,            162,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           1327,            162,             51,            162,            631,            161,          66816,         524288,          65536,         522752,              0,              0,          66304,         523648,            517,            162,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.024,          0.000,          589.8,          589.6,              0,              0,          54805,           4685,
