frame_no,time
1,1683286904.732236000
2,1683286904.774702000
3,1683286904.911425000
4,1683286904.911826000
80,1683286904.979389000
136,1683286905.011594000
187,1683286908.469679000
190,1683286908.483552000
251,1683286910.820515000
252,1683286910.835848000
