device_name,domain_name,count,percentage
guardianalertsystem,ws-us2.pusher.com,1127,11.66
guardianalertsystem,firebaselogging-pa.googleapis.com,59,0.61
guardianalertsystem,mymedicalguardian.com,6678,69.08
guardianalertsystem,clients4.google.com,1803,18.65
