device_name,domain_name,count,percentage
ketoscanketonemeter,ws.channel.io,1348,29.09
ketoscanketonemeter,graph.facebook.com,614,13.25
ketoscanketonemeter,api.channel.io,1273,27.47
ketoscanketonemeter,kminiapp.sentechkorea.com,1399,30.19
