frame_no,ip,domain
34,34.102.155.183,fsc.fitbit.com
35,34.102.155.183,fsc.fitbit.com
136,172.217.164.106,scone-pa.googleapis.com
136,142.250.72.202,scone-pa.googleapis.com
136,142.250.189.170,scone-pa.googleapis.com
136,142.251.46.170,scone-pa.googleapis.com
136,142.250.189.202,scone-pa.googleapis.com
136,142.251.46.234,scone-pa.googleapis.com
136,142.251.46.202,scone-pa.googleapis.com
136,142.250.191.42,scone-pa.googleapis.com
136,142.250.191.74,scone-pa.googleapis.com
136,142.251.32.42,scone-pa.googleapis.com
137,172.217.164.106,scone-pa.googleapis.com
137,142.250.72.202,scone-pa.googleapis.com
137,142.250.189.170,scone-pa.googleapis.com
137,142.251.46.170,scone-pa.googleapis.com
137,142.250.189.202,scone-pa.googleapis.com
137,142.251.46.234,scone-pa.googleapis.com
137,142.251.46.202,scone-pa.googleapis.com
137,142.250.191.42,scone-pa.googleapis.com
137,142.250.191.74,scone-pa.googleapis.com
137,142.251.32.42,scone-pa.googleapis.com
