device_name,functionality_no,measurement_no,duration,volume_kb,packet_count
fitbitfitness,1,1,0,0.0,0
fitbitfitness,1,2,0,0.0,0
fitbitfitness,1,3,0,0.0,0
fitbitfitness,1,4,0,0.0,0
fitbitfitness,1,5,0,0.0,0
fitbitfitness,1,6,0,0.0,0
fitbitfitness,1,7,0,0.0,0
fitbitfitness,1,8,0,0.0,0
fitbitfitness,1,9,0,0.0,0
fitbitfitness,1,10,0,0.0,0
fitbitfitness,2,1,14.247009038925171,305.451171875,372
fitbitfitness,2,2,5.611129999160767,112.2529296875,234
fitbitfitness,2,3,4.443022012710571,48.1767578125,207
fitbitfitness,2,4,1.9779670238494873,27.7783203125,130
fitbitfitness,2,5,2.0654029846191406,99.060546875,193
fitbitfitness,2,6,2.8141658306121826,27.7314453125,128
fitbitfitness,2,7,2.210052967071533,98.8369140625,193
fitbitfitness,2,8,2.1497979164123535,27.75390625,129
fitbitfitness,2,9,2.473694086074829,98.951171875,197
fitbitfitness,2,10,1.9835119247436523,27.8251953125,131
fitbitfitness,3,1,6.717237949371338,3527.0693359375,983
fitbitfitness,3,2,5.49492883682251,48.3056640625,205
fitbitfitness,3,3,4.989040851593018,114.1025390625,276
fitbitfitness,3,4,4.880773067474365,73.3427734375,245
fitbitfitness,3,5,4.883450031280518,48.2900390625,210
fitbitfitness,3,6,4.240026950836182,112.6611328125,240
fitbitfitness,3,7,4.501018047332764,48.4658203125,212
fitbitfitness,3,8,5.476184129714966,112.3271484375,252
fitbitfitness,3,9,5.096160888671875,48.02734375,204
fitbitfitness,3,10,5.087071180343628,112.1708984375,247
fitbitfitness,4,1,6.217897891998291,43.802734375,139
fitbitfitness,4,2,3.6097638607025146,102.216796875,173
fitbitfitness,4,3,4.212559938430786,40.8046875,175
fitbitfitness,4,4,5.205359935760498,37.8349609375,136
fitbitfitness,4,5,3.7295010089874268,37.2666015625,126
fitbitfitness,4,6,3.6682729721069336,102.0244140625,168
fitbitfitness,4,7,3.9919300079345703,38.87890625,154
fitbitfitness,4,8,3.413877010345459,36.9814453125,122
fitbitfitness,4,9,3.900486946105957,39.7197265625,168
fitbitfitness,4,10,4.356775999069214,45.1962890625,165
fitbitfitness,5,1,6.857083797454834,39.9443359375,165
fitbitfitness,5,2,11.485031127929688,4722.904296875,2518
fitbitfitness,5,3,7.7357659339904785,2807.53125,1593
fitbitfitness,5,4,8.239716053009033,110.0830078125,232
fitbitfitness,5,5,9.629609107971191,117.947265625,265
fitbitfitness,5,6,9.438875198364258,47.1201171875,188
fitbitfitness,5,7,10.253586053848267,113.8388671875,210
fitbitfitness,5,8,9.961874008178711,39.169921875,150
fitbitfitness,5,9,10.03481411933899,114.29296875,233
fitbitfitness,5,10,7.659136056900024,106.3271484375,180
fitbitfitness,6,1,6.709892988204956,47.328125,209
fitbitfitness,6,2,4.617050886154175,111.251953125,228
fitbitfitness,6,3,3.541311025619507,48.7724609375,234
fitbitfitness,6,4,4.62030291557312,48.0361328125,218
fitbitfitness,6,5,4.461549997329712,111.2099609375,232
fitbitfitness,6,6,2.711869955062866,67.4873046875,252
fitbitfitness,6,7,4.365752935409546,117.8115234375,250
fitbitfitness,6,8,4.931112051010132,47.4814453125,210
fitbitfitness,6,9,3.8080618381500244,46.83984375,200
fitbitfitness,6,10,2.78078293800354,112.705078125,256
