device_name,functionality_no,measurement_no,duration,volume_kb,packet_count
kardiamobile,1,1,0,0.0,0
kardiamobile,1,2,0,0.0,0
kardiamobile,1,3,0,0.0,0
kardiamobile,1,4,0,0.0,0
kardiamobile,1,5,0,0.0,0
kardiamobile,1,6,0,0.0,0
kardiamobile,1,7,0,0.0,0
kardiamobile,1,8,0,0.0,0
kardiamobile,1,9,0,0.0,0
kardiamobile,1,10,0,0.0,0
kardiamobile,2,1,6.4078428745269775,122.35546875,402
kardiamobile,2,2,3.5203380584716797,73.6318359375,284
kardiamobile,2,3,3.5228259563446045,59.4228515625,329
kardiamobile,2,4,3.5499939918518066,156.2275390625,503
kardiamobile,2,5,4.319149971008301,271.7705078125,828
kardiamobile,2,6,3.1284968852996826,282.98828125,732
kardiamobile,2,7,4.058336973190308,289.1826171875,832
kardiamobile,2,8,3.7193281650543213,328.310546875,895
kardiamobile,2,9,4.215530872344971,290.591796875,780
kardiamobile,2,10,2.7623510360717773,291.013671875,767
kardiamobile,3,1,4.232179164886475,78.6396484375,235
kardiamobile,3,2,10.420389890670776,116.98046875,248
kardiamobile,3,3,4.669703960418701,76.888671875,204
kardiamobile,3,4,3.9349520206451416,75.259765625,247
kardiamobile,3,5,3.9344611167907715,74.3359375,220
kardiamobile,3,6,3.594024896621704,78.44140625,227
kardiamobile,3,7,4.506462097167969,79.9814453125,249
kardiamobile,3,8,5.927289962768555,104.2890625,241
kardiamobile,3,9,3.962070941925049,77.12890625,208
kardiamobile,3,10,4.203733921051025,78.0830078125,224
kardiamobile,4,1,12.191622972488403,96.5556640625,227
kardiamobile,4,2,3.6649529933929443,69.8994140625,223
kardiamobile,4,3,4.07591700553894,72.5205078125,194
kardiamobile,4,4,3.9892959594726562,73.0244140625,206
kardiamobile,4,5,6.854111909866333,69.3037109375,215
kardiamobile,4,6,3.5281758308410645,75.1494140625,240
kardiamobile,4,7,3.052877902984619,68.7275390625,204
kardiamobile,4,8,3.6282761096954346,73.849609375,219
kardiamobile,4,9,3.714202880859375,73.83984375,206
kardiamobile,4,10,3.420506000518799,73.015625,202
kardiamobile,5,1,5.988163948059082,74.3544921875,215
kardiamobile,5,2,3.629960060119629,74.1904296875,212
kardiamobile,5,3,3.227915048599243,77.8291015625,270
kardiamobile,5,4,3.9730820655822754,75.208984375,225
kardiamobile,5,5,3.0827951431274414,71.4248046875,236
kardiamobile,5,6,3.616966962814331,65.8681640625,213
kardiamobile,5,7,3.6135101318359375,72.005859375,229
kardiamobile,5,8,3.300595998764038,78.0400390625,269
kardiamobile,5,9,3.1791059970855713,76.53125,246
kardiamobile,5,10,5.370794057846069,87.4306640625,231
kardiamobile,6,1,14.515395164489746,82.251953125,279
kardiamobile,6,2,9.534885168075562,79.650390625,272
kardiamobile,6,3,7.716076850891113,82.1025390625,314
kardiamobile,6,4,10.48880910873413,76.734375,228
kardiamobile,6,5,6.308756113052368,73.6337890625,233
kardiamobile,6,6,7.9876439571380615,73.76953125,242
kardiamobile,6,7,5.925577163696289,71.9677734375,219
kardiamobile,6,8,8.261367082595825,66.810546875,203
kardiamobile,6,9,5.501347064971924,73.921875,252
kardiamobile,6,10,8.603629112243652,72.33203125,221
kardiamobile,7,1,7.359591007232666,81.880859375,246
kardiamobile,7,2,14.070505142211914,116.744140625,269
kardiamobile,7,3,11.898587942123413,116.982421875,316
kardiamobile,7,4,9.862832069396973,96.1123046875,267
kardiamobile,7,5,7.3803980350494385,80.6259765625,236
kardiamobile,7,6,8.363685846328735,75.384765625,218
kardiamobile,7,7,7.190389156341553,81.078125,307
kardiamobile,7,8,7.320279121398926,81.5947265625,245
kardiamobile,7,9,9.017867803573608,80.1484375,293
kardiamobile,7,10,10.447515964508057,113.58984375,269
