frame_no,time
3,1681925886.833251000
4,1681925886.841782000
5,1681925886.844882000
6,1681925886.850192000
7,1681925886.850496000
8,1681925886.850689000
13,1681925886.876943000
14,1681925886.878249000
20,1681925886.893565000
21,1681925886.895503000
94,1681925886.972473000
120,1681925887.003548000
266,1681925887.196905000
269,1681925887.199662000
303,1681925887.384400000
304,1681925887.386622000
373,1681925889.094000000
374,1681925889.106278000
375,1681925889.110695000
376,1681925889.111191000
