frame_no,time
2,1681922462.261013000
3,1681922462.263609000
4,1681922462.266319000
5,1681922462.278837000
6,1681922462.279337000
9,1681922462.291583000
10,1681922462.293605000
15,1681922462.326509000
19,1681922462.333620000
26,1681922462.338759000
36,1681922462.355237000
41,1681922462.361258000
197,1681922462.899028000
199,1681922462.903674000
200,1681922462.906610000
201,1681922462.909910000
203,1681922462.911681000
204,1681922462.913010000
205,1681922462.913553000
207,1681922462.915546000
212,1681922462.921567000
213,1681922462.922156000
215,1681922462.925425000
217,1681922462.928246000
221,1681922462.936937000
223,1681922462.941515000
315,1681922462.998073000
320,1681922463.000125000
553,1681922463.322149000
558,1681922463.324252000
