frame_no,time
1,1681922765.801031000
2,1681922765.809765000
3,1681922765.811159000
4,1681922765.817642000
5,1681922765.818135000
6,1681922765.818868000
14,1681922765.856467000
15,1681922765.859108000
38,1681922765.891841000
47,1681922765.896583000
190,1681922766.148516000
195,1681922766.151062000
218,1681922766.368586000
219,1681922766.380274000
260,1681922766.767326000
261,1681922766.784644000
273,1681922766.880372000
276,1681922766.882208000
383,1681922767.157041000
384,1681922767.159801000
494,1681922770.681662000
495,1681922770.699256000
