frame_no,time
388,1681922577.326285000
390,1681922577.351437000
405,1681922577.382424000
406,1681922577.386221000
408,1681922577.388402000
409,1681922577.389105000
457,1681922577.518511000
462,1681922577.520741000
471,1681922577.540128000
478,1681922577.548299000
559,1681922577.634093000
595,1681922577.670520000
756,1681922577.826993000
758,1681922577.829683000
836,1681922577.996802000
839,1681922578.001660000
1642,1681922583.576038000
1643,1681922583.593327000
1799,1681922584.654764000
1802,1681922584.658915000
