frame_no,time
658,1681922621.148623000
659,1681922621.152675000
660,1681922621.156449000
661,1681922621.184423000
663,1681922621.211559000
664,1681922621.216497000
678,1681922621.312300000
684,1681922621.322163000
698,1681922621.327228000
781,1681922621.382871000
794,1681922621.432471000
818,1681922621.444540000
968,1681922621.561256000
973,1681922621.565175000
1453,1681922621.767415000
1473,1681922621.775873000
2823,1681922624.930006000
2827,1681922624.968828000
2927,1681922625.484960000
2928,1681922625.487497000
