frame_no,time
2,1681922420.369799000
3,1681922420.376646000
4,1681922420.379909000
5,1681922420.403191000
6,1681922420.405197000
7,1681922420.429106000
8,1681922420.432990000
9,1681922420.433349000
15,1681922420.449022000
18,1681922420.460256000
19,1681922420.462619000
52,1681922420.509617000
225,1681922420.716451000
228,1681922420.730292000
247,1681922420.840338000
257,1681922420.886600000
295,1681922422.552827000
300,1681922422.602929000
302,1681922422.641277000
311,1681922422.689363000
363,1681922423.555979000
366,1681922423.558816000
369,1681922423.565236000
374,1681922423.569164000
375,1681922423.571558000
395,1681922423.598006000
400,1681922423.608961000
401,1681922423.609983000
402,1681922423.611250000
421,1681922423.630720000
