frame_no,time
1,1681926954.353929000
2,1681926954.361866000
3,1681926954.364929000
4,1681926954.371444000
5,1681926954.371608000
6,1681926954.371681000
13,1681926954.417722000
17,1681926954.434250000
21,1681926954.437040000
32,1681926954.442746000
45,1681926954.465776000
46,1681926954.467767000
328,1681926954.714593000
331,1681926954.716180000
351,1681926954.840612000
352,1681926954.844124000
413,1681926955.992292000
414,1681926956.009450000
416,1681926956.036077000
417,1681926956.038207000
661,1681926958.251780000
662,1681926958.254517000
