frame_no,time
2,1681924263.037814000
3,1681924263.040760000
4,1681924263.047245000
5,1681924263.055637000
6,1681924263.056172000
7,1681924263.056778000
11,1681924263.097370000
16,1681924263.099501000
30,1681924263.126112000
32,1681924263.127631000
68,1681924263.166839000
76,1681924263.168839000
305,1681924263.412779000
310,1681924263.415303000
330,1681924263.574788000
331,1681924263.576752000
412,1681924265.569259000
413,1681924265.587156000
561,1681924268.983752000
571,1681924269.035113000
