frame_no,time
2,1681922687.170406000
3,1681922687.221626000
20,1681922688.129814000
21,1681922688.132201000
22,1681922688.136157000
23,1681922688.149237000
24,1681922688.149680000
25,1681922688.154175000
30,1681922688.173925000
34,1681922688.193301000
62,1681922688.233838000
65,1681922688.235759000
224,1681922688.480790000
225,1681922688.482649000
248,1681922688.746355000
251,1681922688.748526000
294,1681922689.673216000
295,1681922689.736559000
299,1681922689.765029000
302,1681922689.766715000
408,1681922690.018566000
409,1681922690.020774000
