frame_no,time
1,1681926929.367328000
3,1681926929.383701000
5,1681926929.555858000
6,1681926929.564638000
7,1681926929.574319000
9,1681926929.578105000
10,1681926929.578738000
14,1681926929.579144000
26,1681926929.641804000
31,1681926929.656495000
35,1681926929.662218000
42,1681926929.662936000
58,1681926929.681701000
63,1681926929.686968000
327,1681926929.944781000
331,1681926929.946872000
362,1681926930.084964000
363,1681926930.087502000
417,1681926930.631537000
418,1681926930.645467000
420,1681926930.674249000
421,1681926930.676054000
