frame_no,time
1,1681926935.232965000
2,1681926935.235941000
4,1681926935.246411000
5,1681926935.252383000
7,1681926935.259195000
8,1681926935.261626000
27,1681926935.337127000
31,1681926935.347988000
35,1681926935.350030000
41,1681926935.355883000
47,1681926935.368712000
51,1681926935.370636000
290,1681926935.652549000
293,1681926935.654647000
321,1681926935.791667000
326,1681926935.794681000
380,1681926936.288703000
381,1681926936.292161000
387,1681926936.352103000
388,1681926936.354226000
