frame_no,time
1,1681922558.663054000
108,1681922559.283723000
109,1681922559.290024000
111,1681922559.295180000
115,1681922559.301948000
122,1681922559.341575000
127,1681922559.346208000
130,1681922559.350002000
161,1681922559.403377000
174,1681922559.406808000
179,1681922559.408463000
447,1681922559.643458000
450,1681922559.646936000
657,1681922559.836952000
662,1681922559.839743000
2524,1681922565.279971000
2525,1681922565.281961000
2561,1681922566.008716000
2562,1681922566.011469000
