frame_no,time
1,1681922744.685358000
2,1681922744.703284000
3,1681922744.708561000
4,1681922744.749267000
6,1681922744.753594000
8,1681922744.765449000
12,1681922744.789288000
24,1681922744.818599000
31,1681922744.826646000
39,1681922744.837830000
178,1681922745.088481000
183,1681922745.101717000
207,1681922745.265706000
210,1681922745.309230000
245,1681922745.827793000
246,1681922745.829748000
262,1681922745.957193000
265,1681922745.959433000
379,1681922746.215354000
380,1681922746.217271000
