frame_no,time
1,1681922610.020498000
3,1681922610.035812000
4,1681922610.038414000
159,1681922610.972046000
160,1681922610.979280000
164,1681922611.006429000
169,1681922611.065448000
173,1681922611.094325000
179,1681922611.118556000
185,1681922611.124052000
206,1681922611.158274000
301,1681922611.278638000
304,1681922611.280347000
446,1681922611.458359000
448,1681922611.465940000
456,1681922611.470765000
457,1681922611.472219000
563,1681922611.577035000
568,1681922611.579794000
620,1681922611.836155000
622,1681922611.839859000
625,1681922611.844823000
667,1681922611.889007000
857,1681922612.129118000
858,1681922612.130744000
859,1681922612.131614000
871,1681922612.223695000
1520,1681922614.297325000
1521,1681922614.300163000
1570,1681922614.596791000
1572,1681922614.610502000
1830,1681922615.609037000
1857,1681922615.663867000
