frame_no,time
2,1681922711.481303000
3,1681922711.484626000
4,1681922711.491399000
5,1681922711.499150000
6,1681922711.500011000
7,1681922711.500412000
11,1681922711.527928000
16,1681922711.544556000
26,1681922711.572151000
35,1681922711.577144000
185,1681922711.822064000
190,1681922711.824347000
211,1681922711.953734000
213,1681922711.956661000
262,1681922712.190352000
263,1681922712.192396000
275,1681922712.301198000
287,1681922712.365784000
378,1681922712.601033000
385,1681922712.659769000
