frame_no,time
1,1681925938.377474000
2,1681925938.385195000
3,1681925938.402139000
4,1681925938.440593000
6,1681925938.450450000
7,1681925938.450810000
12,1681925938.467182000
17,1681925938.478629000
26,1681925938.498283000
27,1681925938.499549000
53,1681925938.516617000
65,1681925938.526749000
282,1681925938.776633000
285,1681925938.789419000
310,1681925938.911767000
316,1681925938.957759000
375,1681925939.680627000
376,1681925939.730351000
425,1681925940.596247000
441,1681925940.664371000
