frame_no,time
2,1681924304.956411000
3,1681924304.958843000
4,1681924304.959956000
5,1681924304.961601000
8,1681924304.980960000
9,1681924304.983695000
14,1681924305.007679000
17,1681924305.016719000
20,1681924305.018661000
28,1681924305.025620000
57,1681924305.059619000
62,1681924305.061310000
297,1681924305.301329000
299,1681924305.304882000
327,1681924305.443179000
330,1681924305.446593000
385,1681924307.877668000
386,1681924307.890700000
592,1681924311.502818000
593,1681924311.506272000
