frame_no,time
2,1681925876.167437000
3,1681925876.169727000
4,1681925876.210406000
5,1681925876.213585000
6,1681925876.232331000
7,1681925876.245402000
8,1681925876.245734000
11,1681925876.255771000
15,1681925876.269411000
17,1681925876.272867000
23,1681925876.284502000
47,1681925876.304643000
275,1681925876.516374000
280,1681925876.528083000
300,1681925876.648054000
312,1681925876.702193000
391,1681925878.508527000
392,1681925878.605268000
405,1681925878.810146000
406,1681925878.846458000
