frame_no,time
1,1681926947.807271000
2,1681926947.810161000
19,1681926948.110647000
20,1681926948.115612000
22,1681926948.135380000
23,1681926948.138392000
24,1681926948.143031000
25,1681926948.143891000
35,1681926948.200413000
40,1681926948.209800000
46,1681926948.215386000
47,1681926948.216599000
57,1681926948.240471000
66,1681926948.242327000
365,1681926948.494497000
367,1681926948.497350000
407,1681926948.718527000
408,1681926948.721042000
471,1681926949.542644000
472,1681926949.543922000
474,1681926949.583914000
477,1681926949.585639000
