frame_no,time
1,1681926908.593330000
2,1681926908.602019000
3,1681926908.608894000
4,1681926908.611712000
5,1681926908.611936000
6,1681926908.612371000
13,1681926908.657915000
16,1681926908.661543000
18,1681926908.662402000
24,1681926908.668112000
52,1681926908.700272000
57,1681926908.701708000
281,1681926908.956158000
283,1681926908.958171000
305,1681926909.107186000
307,1681926909.109212000
403,1681926912.345526000
404,1681926912.363447000
410,1681926912.425363000
415,1681926912.471056000
