frame_no,time
2,1681925864.844315000
3,1681925864.860254000
5,1681925864.869720000
6,1681925864.872312000
7,1681925864.873459000
9,1681925864.878595000
24,1681925864.926570000
29,1681925864.938349000
30,1681925864.939412000
31,1681925864.940394000
71,1681925864.982050000
80,1681925864.985906000
290,1681925865.231775000
295,1681925865.235002000
319,1681925865.440104000
320,1681925865.452605000
392,1681925868.473900000
393,1681925868.492351000
405,1681925868.673394000
406,1681925868.675619000
