frame_no,time
1,1681926973.669775000
2,1681926973.690298000
3,1681926973.694277000
5,1681926973.698852000
7,1681926973.707080000
8,1681926973.709804000
23,1681926973.764988000
28,1681926973.772210000
30,1681926973.772765000
33,1681926973.778180000
55,1681926973.808038000
60,1681926973.809155000
304,1681926974.066741000
305,1681926974.068377000
347,1681926974.273563000
350,1681926974.275530000
405,1681926975.010244000
406,1681926975.011672000
410,1681926975.055675000
417,1681926975.102890000
