frame_no,time
2,1681922488.070965000
3,1681922488.154164000
9,1681922488.318563000
10,1681922488.320703000
11,1681922488.321624000
12,1681922488.322285000
22,1681922488.355423000
23,1681922488.359287000
42,1681922488.394678000
103,1681922488.474579000
105,1681922488.488312000
113,1681922488.498356000
132,1681922488.513219000
133,1681922488.520707000
135,1681922488.526741000
136,1681922488.528810000
137,1681922488.542671000
144,1681922488.545843000
145,1681922488.551365000
162,1681922488.582882000
173,1681922488.593270000
174,1681922488.595639000
176,1681922488.600791000
177,1681922488.601930000
201,1681922488.638825000
207,1681922488.644520000
500,1681922488.908769000
502,1681922488.910430000
