frame_no,time
2,1681922475.855466000
3,1681922475.872856000
9,1681922475.959100000
14,1681922475.962380000
25,1681922476.046377000
26,1681922476.047976000
51,1681922476.114741000
52,1681922476.116315000
59,1681922476.131695000
60,1681922476.133854000
62,1681922476.135318000
64,1681922476.135836000
122,1681922476.310474000
124,1681922476.317149000
127,1681922476.334943000
142,1681922476.345101000
288,1681922476.768305000
290,1681922476.773983000
291,1681922476.776877000
292,1681922476.780015000
295,1681922476.782084000
296,1681922476.784631000
297,1681922476.785911000
301,1681922476.791651000
303,1681922476.796909000
307,1681922476.809618000
309,1681922476.810427000
310,1681922476.811070000
311,1681922476.812464000
316,1681922476.819215000
417,1681922476.879159000
423,1681922476.884489000
