frame_no,time
1,1681927119.785169000
2,1681927119.787592000
17,1681927120.782376000
18,1681927120.795619000
19,1681927120.798562000
20,1681927120.803340000
21,1681927120.805115000
22,1681927120.805940000
43,1681927120.878193000
44,1681927120.880985000
65,1681927120.903779000
73,1681927120.909258000
291,1681927121.174815000
294,1681927121.176819000
318,1681927121.304855000
319,1681927121.307050000
353,1681927121.409208000
354,1681927121.411622000
404,1681927126.357875000
405,1681927126.376518000
