frame_no,time
2,1681922672.368955000
3,1681922672.376266000
4,1681922672.380986000
5,1681922672.431231000
6,1681922672.432502000
9,1681922672.441643000
15,1681922672.471255000
24,1681922672.486601000
29,1681922672.491001000
72,1681922672.520699000
216,1681922672.768187000
220,1681922672.770778000
242,1681922672.953133000
247,1681922672.997268000
295,1681922674.220346000
296,1681922674.222893000
308,1681922674.329659000
311,1681922674.331595000
423,1681922674.569229000
424,1681922674.573099000
464,1681922676.835001000
465,1681922676.848467000
508,1681922679.708309000
512,1681922679.736328000
