frame_no,time
1,1681926967.371046000
2,1681926967.381092000
3,1681926967.383388000
4,1681926967.432635000
5,1681926967.434593000
7,1681926967.444038000
8,1681926967.457303000
9,1681926967.459629000
17,1681926967.470929000
18,1681926967.472244000
28,1681926967.492697000
33,1681926967.502502000
310,1681926967.739410000
314,1681926967.752012000
333,1681926967.863917000
341,1681926967.917101000
396,1681926968.505489000
397,1681926968.574905000
418,1681926968.834157000
420,1681926968.875082000
421,1681926968.876389000
445,1681926968.927871000
