frame_no,time
2,1681922702.734538000
3,1681922702.737763000
4,1681922702.739993000
5,1681922702.752950000
6,1681922702.754198000
7,1681922702.754676000
11,1681922702.782813000
17,1681922702.799289000
34,1681922702.832096000
61,1681922702.858340000
197,1681922703.089362000
200,1681922703.092232000
220,1681922703.198406000
221,1681922703.200840000
269,1681922703.564218000
270,1681922703.566454000
285,1681922703.727548000
288,1681922703.729541000
395,1681922703.975187000
396,1681922703.977292000
