frame_no,time
1,1681924288.415622000
2,1681924288.426440000
3,1681924288.431325000
4,1681924288.432943000
5,1681924288.435209000
6,1681924288.436967000
10,1681924288.461442000
12,1681924288.463322000
18,1681924288.485114000
22,1681924288.491225000
49,1681924288.516457000
54,1681924288.518593000
299,1681924288.782896000
301,1681924288.785074000
324,1681924288.953588000
327,1681924288.955875000
394,1681924290.012587000
395,1681924290.038011000
414,1681924290.869679000
415,1681924290.875649000
