frame_no,time
2,1681922774.512001000
3,1681922774.529487000
5,1681922774.541622000
6,1681922774.582118000
8,1681922774.586876000
10,1681922774.588148000
33,1681922774.670971000
34,1681922774.673393000
65,1681922774.710857000
68,1681922774.715336000
195,1681922774.959107000
200,1681922774.961660000
222,1681922775.078377000
224,1681922775.081192000
272,1681922775.682976000
273,1681922775.685066000
282,1681922775.783262000
293,1681922775.831708000
397,1681922776.074317000
401,1681922776.123144000
