frame_no,time
2,1681922446.868887000
3,1681922446.872606000
4,1681922446.885748000
6,1681922446.896020000
9,1681922446.906335000
10,1681922446.908243000
22,1681922446.933665000
23,1681922446.935008000
73,1681922447.004213000
82,1681922447.009006000
86,1681922447.015805000
87,1681922447.021899000
90,1681922447.032618000
91,1681922447.040854000
102,1681922447.046506000
103,1681922447.047213000
113,1681922447.053582000
117,1681922447.054777000
127,1681922447.093267000
128,1681922447.094447000
135,1681922447.109973000
147,1681922447.118733000
148,1681922447.119783000
157,1681922447.123077000
515,1681922447.451639000
518,1681922447.453964000
