frame_no,time
2,1681925917.493904000
3,1681925917.512802000
4,1681925917.518988000
5,1681925917.520247000
8,1681925917.536300000
9,1681925917.538076000
11,1681925917.560054000
17,1681925917.575727000
20,1681925917.579440000
28,1681925917.580782000
46,1681925917.609101000
58,1681925917.614042000
309,1681925917.872117000
310,1681925917.874884000
339,1681925917.995924000
342,1681925917.997830000
399,1681925919.045992000
400,1681925919.048030000
482,1681925920.105634000
483,1681925920.107950000
