frame_no,time
2,1681924229.511314000
3,1681924229.527534000
4,1681924229.528324000
5,1681924229.528817000
6,1681924229.532003000
9,1681924229.541763000
13,1681924229.581291000
20,1681924229.596016000
24,1681924229.597663000
29,1681924229.599340000
37,1681924229.625549000
38,1681924229.626388000
40,1681924229.626832000
52,1681924229.630301000
310,1681924229.895800000
311,1681924229.897942000
332,1681924230.006655000
335,1681924230.008787000
411,1681924232.812052000
412,1681924232.828401000
