frame_no,time
2,1681924294.535875000
3,1681924294.537690000
5,1681924294.545869000
6,1681924294.547588000
7,1681924294.548593000
8,1681924294.549402000
14,1681924294.583856000
17,1681924294.585693000
174,1681924294.768678000
179,1681924294.771024000
295,1681924294.896227000
296,1681924294.897974000
326,1681924295.003160000
327,1681924295.004333000
367,1681924295.118085000
371,1681924295.121083000
473,1681924298.562195000
474,1681924298.580009000
675,1681924301.188466000
676,1681924301.193290000
