frame_no,time
2,1681922728.066951000
3,1681922728.071874000
4,1681922728.102582000
6,1681922728.111184000
7,1681922728.119593000
8,1681922728.123870000
28,1681922728.204453000
35,1681922728.225269000
76,1681922728.280168000
84,1681922728.285819000
191,1681922728.516854000
192,1681922728.519413000
214,1681922728.633092000
215,1681922728.636252000
255,1681922728.813961000
258,1681922728.816709000
274,1681922730.054986000
275,1681922730.077771000
288,1681922730.166950000
291,1681922730.169480000
398,1681922730.390919000
399,1681922730.392954000
