frame_no,time
2,1681922454.899381000
3,1681922454.936008000
9,1681922454.984504000
10,1681922454.985758000
27,1681922455.071695000
31,1681922455.073667000
44,1681922455.107733000
45,1681922455.110126000
51,1681922455.122180000
52,1681922455.126120000
56,1681922455.129770000
63,1681922455.132493000
98,1681922455.243212000
114,1681922455.276657000
120,1681922455.292084000
164,1681922455.353767000
228,1681922455.708674000
230,1681922455.712992000
231,1681922455.715795000
232,1681922455.721974000
233,1681922455.726249000
234,1681922455.729437000
236,1681922455.732063000
237,1681922455.733515000
238,1681922455.734507000
239,1681922455.737218000
241,1681922455.739349000
250,1681922455.760672000
251,1681922455.761112000
252,1681922455.761468000
267,1681922455.780205000
272,1681922455.782709000
