frame_no,time
105,1681922600.473315000
106,1681922600.475424000
223,1681922601.039214000
224,1681922601.057456000
227,1681922601.078550000
228,1681922601.079326000
241,1681922601.139684000
248,1681922601.183228000
254,1681922601.187333000
262,1681922601.188407000
370,1681922601.370561000
385,1681922601.384889000
406,1681922601.491272000
427,1681922601.509544000
766,1681922601.927555000
784,1681922601.972809000
1474,1681922604.326011000
1475,1681922604.329204000
1582,1681922606.550054000
1583,1681922606.553012000
1651,1681922606.817697000
1652,1681922606.823351000
