frame_no,time
1,1681927060.030320000
2,1681927060.044297000
3,1681927060.048473000
4,1681927060.050242000
7,1681927060.056299000
8,1681927060.057651000
19,1681927060.123027000
25,1681927060.124402000
38,1681927060.157760000
43,1681927060.161423000
103,1681927060.186347000
106,1681927060.190062000
297,1681927060.414676000
300,1681927060.416735000
326,1681927060.598137000
327,1681927060.600065000
364,1681927060.693525000
365,1681927060.695607000
416,1681927066.586004000
417,1681927066.603461000
