frame_no,time
2,1681922481.923910000
3,1681922481.929719000
4,1681922481.932101000
7,1681922481.977160000
11,1681922481.980964000
13,1681922481.988769000
28,1681922482.018156000
31,1681922482.020543000
108,1681922482.114794000
109,1681922482.118739000
111,1681922482.122844000
116,1681922482.129738000
117,1681922482.130501000
121,1681922482.132010000
128,1681922482.164616000
129,1681922482.165839000
130,1681922482.173470000
132,1681922482.175728000
143,1681922482.196255000
144,1681922482.197156000
169,1681922482.224409000
187,1681922482.235507000
204,1681922482.244999000
247,1681922482.292620000
532,1681922482.602078000
548,1681922482.615804000
