frame_no,time
1,1681926941.213704000
2,1681926941.229147000
3,1681926941.231473000
4,1681926941.234106000
5,1681926941.236898000
6,1681926941.237471000
19,1681926941.303437000
24,1681926941.317335000
26,1681926941.318784000
28,1681926941.319727000
35,1681926941.344490000
48,1681926941.350758000
292,1681926941.610127000
297,1681926941.612241000
317,1681926941.744460000
318,1681926941.746439000
393,1681926942.553364000
394,1681926942.555548000
400,1681926942.602618000
401,1681926942.604354000
